timestamp,gameid,value,label
"Date:  Fri, 31 Jul 2020 22:43:12 GMT1 week ago",3515405,1.09,0
"Date:  Fri, 31 Jul 2020 22:43:21 GMT1 week ago",3515406,1.06,0
"Date:  Fri, 31 Jul 2020 22:43:30 GMT1 week ago",3515407,1.28,0
"Date:  Fri, 31 Jul 2020 22:43:42 GMT1 week ago",3515408,1.32,0
"Date:  Fri, 31 Jul 2020 22:43:55 GMT1 week ago",3515409,1.19,0
"Date:  Fri, 31 Jul 2020 22:44:06 GMT1 week ago",3515410,3.09,1
"Date:  Fri, 31 Jul 2020 22:44:30 GMT1 week ago",3515411,1,0
"Date:  Fri, 31 Jul 2020 22:44:39 GMT1 week ago",3515412,4.26,1
"Date:  Fri, 31 Jul 2020 22:45:08 GMT1 week ago",3515413,2.9,1
"Date:  Fri, 31 Jul 2020 22:45:32 GMT1 week ago",3515414,4.83,1
"Date:  Fri, 31 Jul 2020 22:46:03 GMT1 week ago",3515415,1.43,0
"Date:  Fri, 31 Jul 2020 22:46:16 GMT1 week ago",3515416,2.78,1
"Date:  Fri, 31 Jul 2020 22:46:39 GMT1 week ago",3515417,7,1
"Date:  Fri, 31 Jul 2020 22:47:15 GMT1 week ago",3515418,4.72,1
"Date:  Fri, 31 Jul 2020 22:47:46 GMT1 week ago",3515419,1.18,0
"Date:  Fri, 31 Jul 2020 22:47:57 GMT1 week ago",3515420,2.4,1
"Date:  Fri, 31 Jul 2020 22:48:18 GMT1 week ago",3515421,2.84,1
"Date:  Fri, 31 Jul 2020 22:48:41 GMT1 week ago",3515422,4.93,1
"Date:  Fri, 31 Jul 2020 22:49:12 GMT1 week ago",3515423,1.24,0
"Date:  Fri, 31 Jul 2020 22:49:24 GMT1 week ago",3515424,1.54,0
"Date:  Fri, 31 Jul 2020 22:49:38 GMT1 week ago",3515425,2.99,1
"Date:  Fri, 31 Jul 2020 22:50:02 GMT1 week ago",3515426,2.42,1
"Date:  Fri, 31 Jul 2020 22:50:23 GMT1 week ago",3515427,2.1,1
"Date:  Fri, 31 Jul 2020 22:50:42 GMT1 week ago",3515428,1.32,0
"Date:  Fri, 31 Jul 2020 22:50:55 GMT1 week ago",3515429,1.18,0
"Date:  Fri, 31 Jul 2020 22:51:06 GMT1 week ago",3515430,2.14,1
"Date:  Fri, 31 Jul 2020 22:51:25 GMT1 week ago",3515431,1.29,0
