0,"Date:  Fri, 07 Aug 2020 12:57:39 GMT11 minutes ago",3540414, 1.35x
1,"Date:  Fri, 07 Aug 2020 12:57:11 GMT11 minutes ago",3540413, 3.73x
2,"Date:  Fri, 07 Aug 2020 12:56:56 GMT12 minutes ago",3540412, 1.64x
3,"Date:  Fri, 07 Aug 2020 12:56:44 GMT12 minutes ago",3540411, 1.27x
4,"Date:  Fri, 07 Aug 2020 12:56:28 GMT12 minutes ago",3540410, 1.73x
5,"Date:  Fri, 07 Aug 2020 12:56:18 GMT13 minutes ago",3540409, 1.11x
6,"Date:  Fri, 07 Aug 2020 12:55:56 GMT13 minutes ago",3540408, 2.61x
7,"Date:  Fri, 07 Aug 2020 12:55:45 GMT13 minutes ago",3540407, 1.17x
8,"Date:  Fri, 07 Aug 2020 12:55:35 GMT14 minutes ago",3540406, 1.16x
9,"Date:  Fri, 07 Aug 2020 12:55:15 GMT14 minutes ago",3540405, 2.23x
10,"Date:  Fri, 07 Aug 2020 12:54:51 GMT15 minutes ago",3540404, 2.97x
11,"Date:  Fri, 07 Aug 2020 12:54:18 GMT15 minutes ago",3540403, 5.51x
12,"Date:  Fri, 07 Aug 2020 12:54:03 GMT15 minutes ago",3540402, 1.59x
13,"Date:  Fri, 07 Aug 2020 12:53:43 GMT16 minutes ago",3540401, 2.22x
14,"Date:  Fri, 07 Aug 2020 12:53:27 GMT16 minutes ago",3540400, 1.72x
15,"Date:  Fri, 07 Aug 2020 12:53:17 GMT16 minutes ago",3540399, 1.09x
16,"Date:  Fri, 07 Aug 2020 12:52:46 GMT17 minutes ago",3540398, 4.88x
17,"Date:  Fri, 07 Aug 2020 12:52:37 GMT17 minutes ago",3540397, 1.07x
18,"Date:  Fri, 07 Aug 2020 12:52:01 GMT18 minutes ago",3540396, 6.85x
19,"Date:  Fri, 07 Aug 2020 12:51:48 GMT18 minutes ago",3540395, 1.37x
20,"Date:  Fri, 07 Aug 2020 12:51:33 GMT19 minutes ago",3540394, 1.59x
21,"Date:  Fri, 07 Aug 2020 12:51:16 GMT19 minutes ago",3540393, 1.87x
22,"Date:  Fri, 07 Aug 2020 12:51:03 GMT19 minutes ago",3540392, 1.34x
23,"Date:  Fri, 07 Aug 2020 12:50:46 GMT20 minutes ago",3540391, 1.88x
24,"Date:  Fri, 07 Aug 2020 12:50:23 GMT20 minutes ago",3540390, 2.69x
25,"Date:  Fri, 07 Aug 2020 12:50:14 GMT20 minutes ago",3540389, 1.05x
26,"Date:  Fri, 07 Aug 2020 12:49:56 GMT21 minutes ago",3540388, 1.9x
27,"Date:  Fri, 07 Aug 2020 12:49:46 GMT21 minutes ago",3540387, 1.11x
28,"Date:  Fri, 07 Aug 2020 12:49:25 GMT21 minutes ago",3540386, 2.47x
29,"Date:  Fri, 07 Aug 2020 12:49:04 GMT22 minutes ago",3540385, 2.43x
30,"Date:  Fri, 07 Aug 2020 12:48:40 GMT22 minutes ago",3540384, 2.92x
31,"Date:  Fri, 07 Aug 2020 12:48:15 GMT23 minutes ago",3540383, 3.22x
32,"Date:  Fri, 07 Aug 2020 12:48:06 GMT23 minutes ago",3540382, 1.02x
33,"Date:  Fri, 07 Aug 2020 12:47:46 GMT23 minutes ago",3540381, 2.27x
34,"Date:  Fri, 07 Aug 2020 12:47:33 GMT24 minutes ago",3540380, 1.32x
35,"Date:  Fri, 07 Aug 2020 12:47:19 GMT24 minutes ago",3540379, 1.49x
36,"Date:  Fri, 07 Aug 2020 12:47:09 GMT24 minutes ago",3540378, 1.17x
37,"Date:  Fri, 07 Aug 2020 12:46:43 GMT25 minutes ago",3540377, 3.21x
38,"Date:  Fri, 07 Aug 2020 12:46:31 GMT25 minutes ago",3540376, 1.37x
39,"Date:  Fri, 07 Aug 2020 12:46:16 GMT25 minutes ago",3540375, 1.51x
40,"Date:  Fri, 07 Aug 2020 12:46:00 GMT26 minutes ago",3540374, 1.69x
41,"Date:  Fri, 07 Aug 2020 12:45:28 GMT26 minutes ago",3540373, 5.35x
42,"Date:  Fri, 07 Aug 2020 12:44:54 GMT27 minutes ago",3540372, 5.88x
43,"Date:  Fri, 07 Aug 2020 12:44:38 GMT27 minutes ago",3540371, 1.74x
44,"Date:  Fri, 07 Aug 2020 12:44:15 GMT28 minutes ago",3540370, 2.68x
45,"Date:  Fri, 07 Aug 2020 12:43:24 GMT29 minutes ago",3540369, 19.72x
46,"Date:  Fri, 07 Aug 2020 12:43:00 GMT29 minutes ago",3540368, 3.01x
47,"Date:  Fri, 07 Aug 2020 12:42:40 GMT30 minutes ago",3540367, 2.17x
48,"Date:  Fri, 07 Aug 2020 12:42:23 GMT30 minutes ago",3540366, 1.91x
49,"Date:  Fri, 07 Aug 2020 12:42:07 GMT30 minutes ago",3540365, 1.65x
0,"Date:  Fri, 07 Aug 2020 12:41:57 GMT31 minutes ago",3540364, 1.14x
1,"Date:  Fri, 07 Aug 2020 12:41:35 GMT31 minutes ago",3540363, 2.57x
2,"Date:  Fri, 07 Aug 2020 12:41:20 GMT32 minutes ago",3540362, 1.61x
3,"Date:  Fri, 07 Aug 2020 12:41:06 GMT32 minutes ago",3540361, 1.39x
4,"Date:  Fri, 07 Aug 2020 12:40:54 GMT32 minutes ago",3540360, 1.37x
5,"Date:  Fri, 07 Aug 2020 12:40:44 GMT32 minutes ago",3540359, 1.08x
6,"Date:  Fri, 07 Aug 2020 12:40:33 GMT33 minutes ago",3540358, 1.2x
7,"Date:  Fri, 07 Aug 2020 12:39:50 GMT33 minutes ago",3540357, 11.27x
8,"Date:  Fri, 07 Aug 2020 12:39:33 GMT34 minutes ago",3540356, 1.84x
9,"Date:  Fri, 07 Aug 2020 12:39:23 GMT34 minutes ago",3540355, 1.06x
10,"Date:  Fri, 07 Aug 2020 12:38:44 GMT35 minutes ago",3540354, 8.36x
11,"Date:  Fri, 07 Aug 2020 12:38:34 GMT35 minutes ago",3540353, 1.17x
12,"Date:  Fri, 07 Aug 2020 12:38:04 GMT36 minutes ago",3540352, 4.42x
13,"Date:  Fri, 07 Aug 2020 12:37:40 GMT36 minutes ago",3540351, 2.97x
14,"Date:  Fri, 07 Aug 2020 12:37:14 GMT37 minutes ago",3540350, 3.51x
15,"Date:  Fri, 07 Aug 2020 12:37:02 GMT37 minutes ago",3540349, 1.28x
16,"Date:  Fri, 07 Aug 2020 12:36:52 GMT37 minutes ago",3540348, 1.07x
17,"Date:  Fri, 07 Aug 2020 12:36:44 GMT37 minutes ago",3540347, 1x
18,"Date:  Fri, 07 Aug 2020 12:36:07 GMT38 minutes ago",3540346, 7.46x
19,"Date:  Fri, 07 Aug 2020 12:35:57 GMT38 minutes ago",3540345, 1.09x
20,"Date:  Fri, 07 Aug 2020 12:35:28 GMT39 minutes ago",3540344, 4.28x
21,"Date:  Fri, 07 Aug 2020 12:35:16 GMT39 minutes ago",3540343, 1.23x
22,"Date:  Fri, 07 Aug 2020 12:34:26 GMT40 minutes ago",3540342, 18.75x
23,"Date:  Fri, 07 Aug 2020 12:34:12 GMT40 minutes ago",3540341, 1.4x
24,"Date:  Fri, 07 Aug 2020 12:34:02 GMT41 minutes ago",3540340, 1.16x
25,"Date:  Fri, 07 Aug 2020 12:33:52 GMT41 minutes ago",3540339, 1.09x
26,"Date:  Fri, 07 Aug 2020 12:33:33 GMT41 minutes ago",3540338, 2.1x
27,"Date:  Fri, 07 Aug 2020 12:33:22 GMT42 minutes ago",3540337, 1.19x
28,"Date:  Fri, 07 Aug 2020 12:33:07 GMT42 minutes ago",3540336, 1.62x
29,"Date:  Fri, 07 Aug 2020 12:32:47 GMT42 minutes ago",3540335, 2.32x
30,"Date:  Fri, 07 Aug 2020 12:32:03 GMT43 minutes ago",3540334, 11.26x
31,"Date:  Fri, 07 Aug 2020 12:31:39 GMT44 minutes ago",3540333, 3.01x
32,"Date:  Fri, 07 Aug 2020 12:31:26 GMT44 minutes ago",3540332, 1.41x
33,"Date:  Fri, 07 Aug 2020 12:31:02 GMT44 minutes ago",3540331, 2.88x
34,"Date:  Fri, 07 Aug 2020 12:30:38 GMT45 minutes ago",3540330, 2.92x
35,"Date:  Fri, 07 Aug 2020 12:29:56 GMT46 minutes ago",3540329, 10.73x
36,"Date:  Fri, 07 Aug 2020 12:29:28 GMT46 minutes ago",3540328, 3.99x
37,"Date:  Fri, 07 Aug 2020 12:29:12 GMT47 minutes ago",3540327, 1.66x
38,"Date:  Fri, 07 Aug 2020 12:28:43 GMT47 minutes ago",3540326, 4.25x
39,"Date:  Fri, 07 Aug 2020 12:28:14 GMT48 minutes ago",3540325, 4.2x
40,"Date:  Fri, 07 Aug 2020 12:27:53 GMT48 minutes ago",3540324, 2.35x
41,"Date:  Fri, 07 Aug 2020 12:27:38 GMT49 minutes ago",3540323, 1.59x
42,"Date:  Fri, 07 Aug 2020 12:27:22 GMT49 minutes ago",3540322, 1.73x
43,"Date:  Fri, 07 Aug 2020 12:27:07 GMT49 minutes ago",3540321, 1.56x
44,"Date:  Fri, 07 Aug 2020 12:26:57 GMT49 minutes ago",3540320, 1.16x
45,"Date:  Fri, 07 Aug 2020 12:26:45 GMT50 minutes ago",3540319, 1.3x
