47,"Date:  Thu, 02 Jan 2020 16:27:22 GMT6 months ago",Game #2706268, 1.82x
48,"Date:  Thu, 02 Jan 2020 16:27:39 GMT6 months ago",Game #2706269, 1.3x
49,"Date:  Thu, 02 Jan 2020 16:27:51 GMT6 months ago",Game #2706270, 4.82x
0,"Date:  Thu, 02 Jan 2020 16:28:22 GMT6 months ago",Game #2706271, 1.55x
1,"Date:  Thu, 02 Jan 2020 16:28:37 GMT6 months ago",Game #2706272, 6.26x
2,"Date:  Thu, 02 Jan 2020 16:29:12 GMT6 months ago",Game #2706273, 1.27x
3,"Date:  Thu, 02 Jan 2020 16:29:23 GMT6 months ago",Game #2706274, 1.08x
4,"Date:  Thu, 02 Jan 2020 16:29:33 GMT6 months ago",Game #2706275, 1.73x
5,"Date:  Thu, 02 Jan 2020 16:29:49 GMT6 months ago",Game #2706276, 11.13x
6,"Date:  Thu, 02 Jan 2020 16:30:32 GMT6 months ago",Game #2706277, 1.15x
7,"Date:  Thu, 02 Jan 2020 16:30:42 GMT6 months ago",Game #2706278, 12.43x
8,"Date:  Thu, 02 Jan 2020 16:31:27 GMT6 months ago",Game #2706279, 1.97x
9,"Date:  Thu, 02 Jan 2020 16:31:45 GMT6 months ago",Game #2706280, 1.42x
10,"Date:  Thu, 02 Jan 2020 16:31:58 GMT6 months ago",Game #2706281, 1x
11,"Date:  Thu, 02 Jan 2020 16:32:07 GMT6 months ago",Game #2706282, 1.22x
12,"Date:  Thu, 02 Jan 2020 16:32:18 GMT6 months ago",Game #2706283, 1.98x
13,"Date:  Thu, 02 Jan 2020 16:32:36 GMT6 months ago",Game #2706284, 1.16x
14,"Date:  Thu, 02 Jan 2020 16:32:46 GMT6 months ago",Game #2706285, 1.07x
15,"Date:  Thu, 02 Jan 2020 16:32:56 GMT6 months ago",Game #2706286, 2.74x
16,"Date:  Thu, 02 Jan 2020 16:33:18 GMT6 months ago",Game #2706287, 23.41x
17,"Date:  Thu, 02 Jan 2020 16:34:12 GMT6 months ago",Game #2706288, 1.86x
18,"Date:  Thu, 02 Jan 2020 16:34:29 GMT6 months ago",Game #2706289, 1.13x
19,"Date:  Thu, 02 Jan 2020 16:34:39 GMT6 months ago",Game #2706290, 1.79x
20,"Date:  Thu, 02 Jan 2020 16:34:56 GMT6 months ago",Game #2706291, 3.26x
21,"Date:  Thu, 02 Jan 2020 16:35:21 GMT6 months ago",Game #2706292, 1.17x
22,"Date:  Thu, 02 Jan 2020 16:35:32 GMT6 months ago",Game #2706293, 7.19x
23,"Date:  Thu, 02 Jan 2020 16:36:09 GMT6 months ago",Game #2706294, 6.74x
24,"Date:  Thu, 02 Jan 2020 16:36:44 GMT6 months ago",Game #2706295, 6.21x
25,"Date:  Thu, 02 Jan 2020 16:37:19 GMT6 months ago",Game #2706296, 1.87x
26,"Date:  Thu, 02 Jan 2020 16:37:36 GMT6 months ago",Game #2706297, 1.51x
27,"Date:  Thu, 02 Jan 2020 16:37:51 GMT6 months ago",Game #2706298, 8.8x
28,"Date:  Thu, 02 Jan 2020 16:38:30 GMT6 months ago",Game #2706299, 2.91x
29,"Date:  Thu, 02 Jan 2020 16:38:54 GMT6 months ago",Game #2706300, 15.83x
30,"Date:  Thu, 02 Jan 2020 16:39:42 GMT6 months ago",Game #2706301, 2.45x
31,"Date:  Thu, 02 Jan 2020 16:40:03 GMT6 months ago",Game #2706302, 1.31x
32,"Date:  Thu, 02 Jan 2020 16:40:15 GMT6 months ago",Game #2706303, 2.2x
33,"Date:  Thu, 02 Jan 2020 16:40:35 GMT6 months ago",Game #2706304, 11.99x
