0,0.0,"Date:  Wed, 01 Jan 2020 00:00:07 GMT6 months ago",2699754, 2x
1,1.0,"Date:  Wed, 01 Jan 2020 00:00:25 GMT6 months ago",2699755, 1.16x
2,2.0,"Date:  Wed, 01 Jan 2020 00:00:36 GMT6 months ago",2699756, 2.27x
3,3.0,"Date:  Wed, 01 Jan 2020 00:00:56 GMT6 months ago",2699757, 1x
4,4.0,"Date:  Wed, 01 Jan 2020 00:01:04 GMT6 months ago",2699758, 4.85x
5,5.0,"Date:  Wed, 01 Jan 2020 00:01:35 GMT6 months ago",2699759, 1.65x
6,6.0,"Date:  Wed, 01 Jan 2020 00:01:50 GMT6 months ago",2699760, 1.74x
7,7.0,"Date:  Wed, 01 Jan 2020 00:02:07 GMT6 months ago",2699761, 4.74x
8,8.0,"Date:  Wed, 01 Jan 2020 00:02:37 GMT6 months ago",2699762, 9.88x
9,9.0,"Date:  Wed, 01 Jan 2020 00:03:19 GMT6 months ago",2699763, 1.91x
10,10.0,"Date:  Wed, 01 Jan 2020 00:03:36 GMT6 months ago",2699764, 7.73x
11,11.0,"Date:  Wed, 01 Jan 2020 00:04:14 GMT6 months ago",2699765, 5.76x
12,12.0,"Date:  Wed, 01 Jan 2020 00:04:47 GMT6 months ago",2699766, 11.22x
13,13.0,"Date:  Wed, 01 Jan 2020 00:05:30 GMT6 months ago",2699767, 52.14x
14,14.0,"Date:  Wed, 01 Jan 2020 00:06:36 GMT6 months ago",2699768, 3.14x
15,15.0,"Date:  Wed, 01 Jan 2020 00:07:00 GMT6 months ago",2699769, 1.26x
16,16.0,"Date:  Wed, 01 Jan 2020 00:07:12 GMT6 months ago",2699770, 1.33x
17,17.0,"Date:  Wed, 01 Jan 2020 00:07:24 GMT6 months ago",2699771, 1.05x
18,18.0,"Date:  Wed, 01 Jan 2020 00:07:33 GMT6 months ago",2699772, 11.15x
19,19.0,"Date:  Wed, 01 Jan 2020 00:08:16 GMT6 months ago",2699773, 1.77x
20,20.0,"Date:  Wed, 01 Jan 2020 00:08:33 GMT6 months ago",2699774, 1.26x
21,21.0,"Date:  Wed, 01 Jan 2020 00:08:45 GMT6 months ago",2699775, 1.08x
22,22.0,"Date:  Wed, 01 Jan 2020 00:08:54 GMT6 months ago",2699776, 1.94x
23,23.0,"Date:  Wed, 01 Jan 2020 00:09:12 GMT6 months ago",2699777, 9.71x
24,24.0,"Date:  Wed, 01 Jan 2020 00:09:53 GMT6 months ago",2699778, 2.28x
25,25.0,"Date:  Wed, 01 Jan 2020 00:10:13 GMT6 months ago",2699779, 1.82x
26,26.0,"Date:  Wed, 01 Jan 2020 00:10:30 GMT6 months ago",2699780, 3.69x
27,27.0,"Date:  Wed, 01 Jan 2020 00:10:57 GMT6 months ago",2699781, 1.86x
28,28.0,"Date:  Wed, 01 Jan 2020 00:11:14 GMT6 months ago",2699782, 3.76x
29,29.0,"Date:  Wed, 01 Jan 2020 00:11:42 GMT6 months ago",2699783, 1.08x
30,30.0,"Date:  Wed, 01 Jan 2020 00:11:51 GMT6 months ago",2699784, 6.38x
31,31.0,"Date:  Wed, 01 Jan 2020 00:12:26 GMT6 months ago",2699785, 1.32x
32,32.0,"Date:  Wed, 01 Jan 2020 00:12:38 GMT6 months ago",2699786, 1.35x
33,33.0,"Date:  Wed, 01 Jan 2020 00:12:51 GMT6 months ago",2699787, 2.11x
34,34.0,"Date:  Wed, 01 Jan 2020 00:13:10 GMT6 months ago",2699788, 2.18x
35,35.0,"Date:  Wed, 01 Jan 2020 00:13:29 GMT6 months ago",2699789, 1.91x
36,36.0,"Date:  Wed, 01 Jan 2020 00:13:47 GMT6 months ago",2699790, 1.55x
37,37.0,"Date:  Wed, 01 Jan 2020 00:14:02 GMT6 months ago",2699791, 1.94x
38,38.0,"Date:  Wed, 01 Jan 2020 00:14:20 GMT6 months ago",2699792, 5.24x
39,39.0,"Date:  Wed, 01 Jan 2020 00:14:52 GMT6 months ago",2699793, 137.53x
40,40.0,"Date:  Wed, 01 Jan 2020 00:16:11 GMT6 months ago",2699794, 1.8x
41,41.0,"Date:  Wed, 01 Jan 2020 00:16:28 GMT6 months ago",2699795, 1.18x
42,42.0,"Date:  Wed, 01 Jan 2020 00:16:38 GMT6 months ago",2699796, 13.76x
43,43.0,"Date:  Wed, 01 Jan 2020 00:17:24 GMT6 months ago",2699797, 2.1x
44,44.0,"Date:  Wed, 01 Jan 2020 00:17:43 GMT6 months ago",2699798, 3.49x
45,45.0,"Date:  Wed, 01 Jan 2020 00:18:10 GMT6 months ago",2699799, 1.25x
46,46.0,"Date:  Wed, 01 Jan 2020 00:18:21 GMT6 months ago",2699800, 1.03x
47,47.0,"Date:  Wed, 01 Jan 2020 00:18:30 GMT6 months ago",2699801, 4.14x
48,48.0,"Date:  Wed, 01 Jan 2020 00:18:59 GMT6 months ago",2699802, 1.56x
49,49.0,"Date:  Wed, 01 Jan 2020 00:19:14 GMT6 months ago",2699803, 4.01x
50,50.0,"Date:  Wed, 01 Jan 2020 00:19:42 GMT6 months ago",2699804, 1x
51,51.0,"Date:  Wed, 01 Jan 2020 00:19:50 GMT6 months ago",2699805, 4.4x
52,52.0,"Date:  Wed, 01 Jan 2020 00:20:20 GMT6 months ago",2699806, 1.11x
53,53.0,"Date:  Wed, 01 Jan 2020 00:20:29 GMT6 months ago",2699807, 1.37x
54,54.0,"Date:  Wed, 01 Jan 2020 00:20:42 GMT6 months ago",2699808, 1.06x
55,55.0,"Date:  Wed, 01 Jan 2020 00:20:51 GMT6 months ago",2699809, 1.66x
56,56.0,"Date:  Wed, 01 Jan 2020 00:21:07 GMT6 months ago",2699810, 2.29x
57,57.0,"Date:  Wed, 01 Jan 2020 00:21:27 GMT6 months ago",2699811, 2.27x
58,58.0,"Date:  Wed, 01 Jan 2020 00:21:47 GMT6 months ago",2699812, 171.87x
59,59.0,"Date:  Wed, 01 Jan 2020 00:23:10 GMT6 months ago",2699813, 2.35x
60,60.0,"Date:  Wed, 01 Jan 2020 00:23:30 GMT6 months ago",2699814, 1.27x
61,61.0,"Date:  Wed, 01 Jan 2020 00:23:42 GMT6 months ago",2699815, 2.75x
62,,"Date:  Wed, 01 Jan 2020 00:24:05 GMT6 months ago",2699816, 5.64x
63,,"Date:  Wed, 01 Jan 2020 00:24:38 GMT6 months ago",2699817, 1x
64,,"Date:  Wed, 01 Jan 2020 00:24:47 GMT6 months ago",2699818, 1.99x
65,,"Date:  Wed, 01 Jan 2020 00:25:05 GMT6 months ago",2699819, 1.05x
66,,"Date:  Wed, 01 Jan 2020 00:25:14 GMT6 months ago",2699820, 1.76x
67,,"Date:  Wed, 01 Jan 2020 00:25:30 GMT6 months ago",2699821, 8.14x
