6393,"Date:  Tue, 28 Jul 2020 02:28:16 GMT2 days ago",3500652, 1.92x
6392,"Date:  Tue, 28 Jul 2020 02:28:33 GMT2 days ago",3500653, 1.12x
6391,"Date:  Tue, 28 Jul 2020 02:28:43 GMT2 days ago",3500654, 1.44x
6390,"Date:  Tue, 28 Jul 2020 02:28:57 GMT2 days ago",3500655, 2.36x
6389,"Date:  Tue, 28 Jul 2020 02:29:18 GMT2 days ago",3500656, 3.31x
6388,"Date:  Tue, 28 Jul 2020 02:29:43 GMT2 days ago",3500657, 1.81x
6387,"Date:  Tue, 28 Jul 2020 02:30:00 GMT2 days ago",3500658, 1.17x
6386,"Date:  Tue, 28 Jul 2020 02:30:11 GMT2 days ago",3500659, 1.81x
6385,"Date:  Tue, 28 Jul 2020 02:30:28 GMT2 days ago",3500660, 1.93x
6384,"Date:  Tue, 28 Jul 2020 02:30:46 GMT2 days ago",3500661, 1.58x
6383,"Date:  Tue, 28 Jul 2020 02:31:01 GMT2 days ago",3500662, 2.19x
6382,"Date:  Tue, 28 Jul 2020 02:31:20 GMT2 days ago",3500663, 1.18x
6381,"Date:  Tue, 28 Jul 2020 02:31:31 GMT2 days ago",3500664, 2.51x
6380,"Date:  Tue, 28 Jul 2020 02:31:53 GMT2 days ago",3500665, 22.91x
6379,"Date:  Tue, 28 Jul 2020 02:32:46 GMT2 days ago",3500666, 1.28x
6378,"Date:  Tue, 28 Jul 2020 02:32:58 GMT2 days ago",3500667, 2.69x
6377,"Date:  Tue, 28 Jul 2020 02:33:20 GMT2 days ago",3500668, 1.53x
6376,"Date:  Tue, 28 Jul 2020 02:33:35 GMT2 days ago",3500669, 1.37x
6375,"Date:  Tue, 28 Jul 2020 02:33:48 GMT2 days ago",3500670, 7.49x
6395,"Date:  Tue, 28 Jul 2020 02:34:25 GMT2 days ago",3500671, 1.26x
6374,"Date:  Tue, 28 Jul 2020 02:34:37 GMT2 days ago",3500672, 2.1x
6373,"Date:  Tue, 28 Jul 2020 02:34:56 GMT2 days ago",3500673, 1.45x
6372,"Date:  Tue, 28 Jul 2020 02:35:10 GMT2 days ago",3500674, 6.37x
6371,"Date:  Tue, 28 Jul 2020 02:35:45 GMT2 days ago",3500675, 1.23x
6370,"Date:  Tue, 28 Jul 2020 02:35:56 GMT2 days ago",3500676, 1.11x
6369,"Date:  Tue, 28 Jul 2020 02:36:06 GMT2 days ago",3500677, 1.84x
6368,"Date:  Tue, 28 Jul 2020 02:36:23 GMT2 days ago",3500678, 2.18x
6367,"Date:  Tue, 28 Jul 2020 02:36:43 GMT2 days ago",3500679, 7.11x
6366,"Date:  Tue, 28 Jul 2020 02:37:19 GMT2 days ago",3500680, 1.2x
6365,"Date:  Tue, 28 Jul 2020 02:37:30 GMT2 days ago",3500681, 5.39x
6364,"Date:  Tue, 28 Jul 2020 02:38:03 GMT2 days ago",3500682, 2.92x
6363,"Date:  Tue, 28 Jul 2020 02:38:27 GMT2 days ago",3500683, 1.08x
6362,"Date:  Tue, 28 Jul 2020 02:38:36 GMT2 days ago",3500684, 1x
6361,"Date:  Tue, 28 Jul 2020 02:38:45 GMT2 days ago",3500685, 1.07x
6360,"Date:  Tue, 28 Jul 2020 02:38:54 GMT2 days ago",3500686, 7.73x
6359,"Date:  Tue, 28 Jul 2020 02:39:32 GMT2 days ago",3500687, 2.96x
6358,"Date:  Tue, 28 Jul 2020 02:39:56 GMT2 days ago",3500688, 1.13x
6357,"Date:  Tue, 28 Jul 2020 02:40:06 GMT2 days ago",3500689, 2.54x
6356,"Date:  Tue, 28 Jul 2020 02:40:28 GMT2 days ago",3500690, 3.55x
6355,"Date:  Tue, 28 Jul 2020 02:40:54 GMT2 days ago",3500691, 1.61x
6354,"Date:  Tue, 28 Jul 2020 02:41:10 GMT2 days ago",3500692, 7.15x
6353,"Date:  Tue, 28 Jul 2020 02:41:46 GMT2 days ago",3500693, 3.16x
6352,"Date:  Tue, 28 Jul 2020 02:42:11 GMT2 days ago",3500694, 1.74x
6351,"Date:  Tue, 28 Jul 2020 02:42:28 GMT2 days ago",3500695, 6.7x
6350,"Date:  Tue, 28 Jul 2020 02:43:03 GMT2 days ago",3500696, 49.67x
6349,"Date:  Tue, 28 Jul 2020 02:44:08 GMT2 days ago",3500697, 6.16x
6348,"Date:  Tue, 28 Jul 2020 02:44:42 GMT2 days ago",3500698, 1x
6347,"Date:  Tue, 28 Jul 2020 02:44:51 GMT2 days ago",3500699, 2.41x
6346,"Date:  Tue, 28 Jul 2020 02:45:12 GMT2 days ago",3500700, 2.6x
6345,"Date:  Tue, 28 Jul 2020 02:45:34 GMT2 days ago",3500701, 2.01x
6344,"Date:  Tue, 28 Jul 2020 02:45:52 GMT2 days ago",3500702, 1.37x
6343,"Date:  Tue, 28 Jul 2020 02:46:05 GMT2 days ago",3500703, 1.53x
6342,"Date:  Tue, 28 Jul 2020 02:46:20 GMT2 days ago",3500704, 2.7x
6341,"Date:  Tue, 28 Jul 2020 02:46:43 GMT2 days ago",3500705, 1.85x
6340,"Date:  Tue, 28 Jul 2020 02:47:00 GMT2 days ago",3500706, 4.4x
6339,"Date:  Tue, 28 Jul 2020 02:47:29 GMT2 days ago",3500707, 86.46x
6338,"Date:  Tue, 28 Jul 2020 02:48:42 GMT2 days ago",3500708, 1.78x
6337,"Date:  Tue, 28 Jul 2020 02:48:59 GMT2 days ago",3500709, 4.26x
6336,"Date:  Tue, 28 Jul 2020 02:49:28 GMT2 days ago",3500710, 7.51x
6335,"Date:  Tue, 28 Jul 2020 02:50:05 GMT2 days ago",3500711, 1.23x
6334,"Date:  Tue, 28 Jul 2020 02:50:17 GMT2 days ago",3500712, 1.54x
6333,"Date:  Tue, 28 Jul 2020 02:50:31 GMT2 days ago",3500713, 3.27x
6332,"Date:  Tue, 28 Jul 2020 02:50:57 GMT2 days ago",3500714, 1.23x
6331,"Date:  Tue, 28 Jul 2020 02:51:08 GMT2 days ago",3500715, 1.87x
6330,"Date:  Tue, 28 Jul 2020 02:51:25 GMT2 days ago",3500716, 2.22x
6329,"Date:  Tue, 28 Jul 2020 02:51:45 GMT2 days ago",3500717, 14.99x
6328,"Date:  Tue, 28 Jul 2020 02:52:33 GMT2 days ago",3500718, 1.8x
6327,"Date:  Tue, 28 Jul 2020 02:52:49 GMT2 days ago",3500719, 1.4x
6326,"Date:  Tue, 28 Jul 2020 02:53:03 GMT2 days ago",3500720, 1.9x
6325,"Date:  Tue, 28 Jul 2020 02:53:20 GMT2 days ago",3500721, 7.67x
6324,"Date:  Tue, 28 Jul 2020 02:53:58 GMT2 days ago",3500722, 2.13x
6323,"Date:  Tue, 28 Jul 2020 02:54:17 GMT2 days ago",3500723, 7.96x
6322,"Date:  Tue, 28 Jul 2020 02:54:55 GMT2 days ago",3500724, 1.31x
6321,"Date:  Tue, 28 Jul 2020 02:55:08 GMT2 days ago",3500725, 10.91x
6320,"Date:  Tue, 28 Jul 2020 02:55:50 GMT2 days ago",3500726, 4.44x
6319,"Date:  Tue, 28 Jul 2020 02:56:20 GMT2 days ago",3500727, 1.35x
6318,"Date:  Tue, 28 Jul 2020 02:56:33 GMT2 days ago",3500728, 3.14x
