13931,19,"Date:  Fri, 31 Jul 2020 22:43:12 GMT1 week ago",3515405, 1.09x
13930,18,"Date:  Fri, 31 Jul 2020 22:43:21 GMT1 week ago",3515406, 1.06x
13929,17,"Date:  Fri, 31 Jul 2020 22:43:30 GMT1 week ago",3515407, 1.28x
13928,16,"Date:  Fri, 31 Jul 2020 22:43:42 GMT1 week ago",3515408, 1.32x
13927,15,"Date:  Fri, 31 Jul 2020 22:43:55 GMT1 week ago",3515409, 1.19x
13926,14,"Date:  Fri, 31 Jul 2020 22:44:06 GMT1 week ago",3515410, 3.09x
13925,13,"Date:  Fri, 31 Jul 2020 22:44:30 GMT1 week ago",3515411, 1x
13924,12,"Date:  Fri, 31 Jul 2020 22:44:39 GMT1 week ago",3515412, 4.26x
13923,11,"Date:  Fri, 31 Jul 2020 22:45:08 GMT1 week ago",3515413, 2.9x
13922,10,"Date:  Fri, 31 Jul 2020 22:45:32 GMT1 week ago",3515414, 4.83x
13921,9,"Date:  Fri, 31 Jul 2020 22:46:03 GMT1 week ago",3515415, 1.43x
13920,8,"Date:  Fri, 31 Jul 2020 22:46:16 GMT1 week ago",3515416, 2.78x
13919,7,"Date:  Fri, 31 Jul 2020 22:46:39 GMT1 week ago",3515417, 7x
13918,6,"Date:  Fri, 31 Jul 2020 22:47:15 GMT1 week ago",3515418, 4.72x
13917,5,"Date:  Fri, 31 Jul 2020 22:47:46 GMT1 week ago",3515419, 1.18x
13916,4,"Date:  Fri, 31 Jul 2020 22:47:57 GMT1 week ago",3515420, 2.4x
13915,3,"Date:  Fri, 31 Jul 2020 22:48:18 GMT1 week ago",3515421, 2.84x
13914,2,"Date:  Fri, 31 Jul 2020 22:48:41 GMT1 week ago",3515422, 4.93x
13913,1,"Date:  Fri, 31 Jul 2020 22:49:12 GMT1 week ago",3515423, 1.24x
13912,0,"Date:  Fri, 31 Jul 2020 22:49:24 GMT1 week ago",3515424, 1.54x
13911,49,"Date:  Fri, 31 Jul 2020 22:49:38 GMT1 week ago",3515425, 2.99x
13910,48,"Date:  Fri, 31 Jul 2020 22:50:02 GMT1 week ago",3515426, 2.42x
13909,47,"Date:  Fri, 31 Jul 2020 22:50:23 GMT1 week ago",3515427, 2.1x
13908,46,"Date:  Fri, 31 Jul 2020 22:50:42 GMT1 week ago",3515428, 1.32x
13907,45,"Date:  Fri, 31 Jul 2020 22:50:55 GMT1 week ago",3515429, 1.18x
13906,44,"Date:  Fri, 31 Jul 2020 22:51:06 GMT1 week ago",3515430, 2.14x
13905,43,"Date:  Fri, 31 Jul 2020 22:51:25 GMT1 week ago",3515431, 1.29x
13904,42,"Date:  Fri, 31 Jul 2020 22:51:37 GMT1 week ago",3515432, 1.19x
13903,41,"Date:  Fri, 31 Jul 2020 22:51:48 GMT1 week ago",3515433, 3x
13902,40,"Date:  Fri, 31 Jul 2020 22:52:12 GMT1 week ago",3515434, 11.17x
13901,39,"Date:  Fri, 31 Jul 2020 22:52:55 GMT1 week ago",3515435, 1.83x
13900,38,"Date:  Fri, 31 Jul 2020 22:53:12 GMT1 week ago",3515436, 2.52x
13899,37,"Date:  Fri, 31 Jul 2020 22:53:34 GMT1 week ago",3515437, 2.03x
13898,36,"Date:  Fri, 31 Jul 2020 22:53:52 GMT1 week ago",3515438, 1.29x
13897,35,"Date:  Fri, 31 Jul 2020 22:54:04 GMT1 week ago",3515439, 1.21x
13896,34,"Date:  Fri, 31 Jul 2020 22:54:15 GMT1 week ago",3515440, 9.89x
13895,33,"Date:  Fri, 31 Jul 2020 22:54:57 GMT1 week ago",3515441, 11.33x
13894,32,"Date:  Fri, 31 Jul 2020 22:55:40 GMT1 week ago",3515442, 1.46x
13893,31,"Date:  Fri, 31 Jul 2020 22:55:54 GMT1 week ago",3515443, 1.05x
13892,30,"Date:  Fri, 31 Jul 2020 22:56:03 GMT1 week ago",3515444, 2.49x
13891,29,"Date:  Fri, 31 Jul 2020 22:56:24 GMT1 week ago",3515445, 285.06x
13890,28,"Date:  Fri, 31 Jul 2020 22:57:54 GMT1 week ago",3515446, 2.28x
13889,27,"Date:  Fri, 31 Jul 2020 22:58:14 GMT1 week ago",3515447, 3.23x
13888,26,"Date:  Fri, 31 Jul 2020 22:58:40 GMT1 week ago",3515448, 2.03x
13887,25,"Date:  Fri, 31 Jul 2020 22:58:58 GMT1 week ago",3515449, 1.26x
13886,24,"Date:  Fri, 31 Jul 2020 22:59:10 GMT1 week ago",3515450, 2.79x
13885,23,"Date:  Fri, 31 Jul 2020 22:59:33 GMT1 week ago",3515451, 4.12x
13884,22,"Date:  Fri, 31 Jul 2020 23:00:02 GMT1 week ago",3515452, 1.25x
13883,21,"Date:  Fri, 31 Jul 2020 23:00:13 GMT1 week ago",3515453, 6x
13882,20,"Date:  Fri, 31 Jul 2020 23:00:48 GMT1 week ago",3515454, 4.42x
13881,19,"Date:  Fri, 31 Jul 2020 23:01:17 GMT1 week ago",3515455, 1.18x
13880,18,"Date:  Fri, 31 Jul 2020 23:01:28 GMT1 week ago",3515456, 1.7x
13879,17,"Date:  Fri, 31 Jul 2020 23:01:44 GMT1 week ago",3515457, 1x
13878,16,"Date:  Fri, 31 Jul 2020 23:01:52 GMT1 week ago",3515458, 1.22x
13877,15,"Date:  Fri, 31 Jul 2020 23:02:04 GMT1 week ago",3515459, 11.55x
13876,14,"Date:  Fri, 31 Jul 2020 23:02:47 GMT1 week ago",3515460, 1x
13875,13,"Date:  Fri, 31 Jul 2020 23:02:56 GMT1 week ago",3515461, 2.52x
13874,12,"Date:  Fri, 31 Jul 2020 23:03:17 GMT1 week ago",3515462, 2.22x
13873,11,"Date:  Fri, 31 Jul 2020 23:03:37 GMT1 week ago",3515463, 1.08x
13872,10,"Date:  Fri, 31 Jul 2020 23:03:46 GMT1 week ago",3515464, 1.53x
13871,9,"Date:  Fri, 31 Jul 2020 23:04:01 GMT1 week ago",3515465, 2.81x
13870,8,"Date:  Fri, 31 Jul 2020 23:04:24 GMT1 week ago",3515466, 19.2x
13869,7,"Date:  Fri, 31 Jul 2020 23:05:15 GMT1 week ago",3515467, 1.37x
13868,6,"Date:  Fri, 31 Jul 2020 23:05:28 GMT1 week ago",3515468, 2.7x
13867,5,"Date:  Fri, 31 Jul 2020 23:05:51 GMT1 week ago",3515469, 3x
13866,4,"Date:  Fri, 31 Jul 2020 23:06:15 GMT1 week ago",3515470, 33.16x
13865,3,"Date:  Fri, 31 Jul 2020 23:07:13 GMT1 week ago",3515471, 153.43x
13864,2,"Date:  Fri, 31 Jul 2020 23:08:34 GMT1 week ago",3515472, 1.05x
13863,1,"Date:  Fri, 31 Jul 2020 23:08:43 GMT1 week ago",3515473, 1.33x
13862,0,"Date:  Fri, 31 Jul 2020 23:08:56 GMT1 week ago",3515474, 2.05x
13861,49,"Date:  Fri, 31 Jul 2020 23:09:15 GMT1 week ago",3515475, 36.38x
13860,48,"Date:  Fri, 31 Jul 2020 23:10:15 GMT1 week ago",3515476, 1.72x
13859,47,"Date:  Fri, 31 Jul 2020 23:10:31 GMT1 week ago",3515477, 1.12x
13858,46,"Date:  Fri, 31 Jul 2020 23:10:41 GMT1 week ago",3515478, 85.64x
13857,45,"Date:  Fri, 31 Jul 2020 23:11:53 GMT1 week ago",3515479, 3.85x
13856,44,"Date:  Fri, 31 Jul 2020 23:12:21 GMT1 week ago",3515480, 145.27x
13855,43,"Date:  Fri, 31 Jul 2020 23:13:41 GMT1 week ago",3515481, 1.46x
13854,42,"Date:  Fri, 31 Jul 2020 23:13:55 GMT1 week ago",3515482, 2.25x
13853,41,"Date:  Fri, 31 Jul 2020 23:14:15 GMT1 week ago",3515483, 1.08x
13852,40,"Date:  Fri, 31 Jul 2020 23:14:24 GMT1 week ago",3515484, 288.94x
13851,39,"Date:  Fri, 31 Jul 2020 23:15:54 GMT1 week ago",3515485, 54.98x
13850,38,"Date:  Fri, 31 Jul 2020 23:17:00 GMT1 week ago",3515486, 1.24x
13849,37,"Date:  Fri, 31 Jul 2020 23:17:12 GMT1 week ago",3515487, 1.09x
13848,36,"Date:  Fri, 31 Jul 2020 23:17:22 GMT1 week ago",3515488, 2.01x
13847,35,"Date:  Fri, 31 Jul 2020 23:17:40 GMT1 week ago",3515489, 9.71x
13846,34,"Date:  Fri, 31 Jul 2020 23:18:21 GMT1 week ago",3515490, 2.16x
13845,33,"Date:  Fri, 31 Jul 2020 23:18:41 GMT1 week ago",3515491, 1.6x
13844,32,"Date:  Fri, 31 Jul 2020 23:18:56 GMT1 week ago",3515492, 1.77x
13843,31,"Date:  Fri, 31 Jul 2020 23:19:12 GMT1 week ago",3515493, 1.35x
13842,30,"Date:  Fri, 31 Jul 2020 23:19:25 GMT1 week ago",3515494, 3.98x
13841,29,"Date:  Fri, 31 Jul 2020 23:19:53 GMT1 week ago",3515495, 1.78x
13840,28,"Date:  Fri, 31 Jul 2020 23:20:10 GMT1 week ago",3515496, 4.08x
13839,27,"Date:  Fri, 31 Jul 2020 23:20:38 GMT1 week ago",3515497, 7.71x
13838,26,"Date:  Fri, 31 Jul 2020 23:21:16 GMT1 week ago",3515498, 1.03x
13837,25,"Date:  Fri, 31 Jul 2020 23:21:25 GMT1 week ago",3515499, 1.12x
13836,24,"Date:  Fri, 31 Jul 2020 23:21:35 GMT1 week ago",3515500, 8.29x
13835,23,"Date:  Fri, 31 Jul 2020 23:22:14 GMT1 week ago",3515501, 1.47x
13834,22,"Date:  Fri, 31 Jul 2020 23:22:28 GMT1 week ago",3515502, 11.38x
13833,21,"Date:  Fri, 31 Jul 2020 23:23:11 GMT1 week ago",3515503, 1.04x
13832,20,"Date:  Fri, 31 Jul 2020 23:23:20 GMT1 week ago",3515504, 9.41x
13831,19,"Date:  Fri, 31 Jul 2020 23:24:01 GMT1 week ago",3515505, 1.54x
13830,18,"Date:  Fri, 31 Jul 2020 23:24:15 GMT1 week ago",3515506, 1.53x
13829,17,"Date:  Fri, 31 Jul 2020 23:24:30 GMT1 week ago",3515507, 3.93x
13828,16,"Date:  Fri, 31 Jul 2020 23:24:58 GMT1 week ago",3515508, 1.73x
13827,15,"Date:  Fri, 31 Jul 2020 23:25:14 GMT1 week ago",3515509, 1.11x
13826,14,"Date:  Fri, 31 Jul 2020 23:25:24 GMT1 week ago",3515510, 1.1x
13825,13,"Date:  Fri, 31 Jul 2020 23:25:34 GMT1 week ago",3515511, 1.12x
13824,12,"Date:  Fri, 31 Jul 2020 23:25:44 GMT1 week ago",3515512, 10.39x
13823,11,"Date:  Fri, 31 Jul 2020 23:26:26 GMT1 week ago",3515513, 1.17x
13822,10,"Date:  Fri, 31 Jul 2020 23:26:36 GMT1 week ago",3515514, 8.61x
13821,9,"Date:  Fri, 31 Jul 2020 23:27:16 GMT1 week ago",3515515, 31.56x
13820,8,"Date:  Fri, 31 Jul 2020 23:28:14 GMT1 week ago",3515516, 2.84x
13819,7,"Date:  Fri, 31 Jul 2020 23:28:37 GMT1 week ago",3515517, 9.79x
